Country;Number of Features Available;Directions;Turn-by-Turn Navigation;Traffic;Nearby;Speed Cameras;Transit;Lane Guidance;Flyover;Indoor Maps Airports;Indoor Maps Malls;Speed Limits;Real-Time Transit;Congestion Zones;Look Around;Cycling;Augmented Reality Walking Directions;Detailed City Experience;Refine Location
Afghanistan;2;;;;;;;;;;;;;;;;;;
Åland;3;Yes;Yes;;;;;;;;;;;;;;;;
Albania;3;Yes;No;;;;;;;;;;;;;;;;
Algeria;3;Yes;No;;;;;;;;;;;;;;;;
American Samoa;2;;;;;;;;;;;;;;;;;;
Andorra;8;Yes;Yes;Yes;;Yes;;Yes;;;;Yes;;;Yes;;;;
Angola;3;Yes;No;;;;;;;;;;;;;;;;
Anguilla;3;Yes;Yes;;;;;;;;;;;;;;;;
Antarctica;2;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;3;Yes;Yes;;;;;;;;;;;;;;;;
Argentina;5;Yes;Yes;Yes;Yes;;;;;;;;;;;;;;
Armenia;3;Yes;Yes;;;;;;;;;;;;;;;;
Aruba;3;Yes;Yes;;;;;;;;;;;;;;;;
Australia;Yes3;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;;;;
Austria;YesYes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;;;;;;
Azerbaijan;2;;;;;;;;;;;;;;;;;;
Bahamas;4;Yes;Yes;;;;;;Yes;;;;;;;;;;
Bahrain;3;;;Yes;;;;;;;;;;;;;;;
Bangladesh;2;;;;;;;;;;;;;;;;;;
Barbados;3;Yes;Yes;;;;;;;;;;;;;;;;
Belarus;3;Yes;No;;;;;;;;;;;;;;;;
Belgium;YesYes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;;Yes;Yes;;;;;
Belize;2;;;;;;;;;;;;;;;;;;
Benin;2;;;;;;;;;;;;;;;;;;
Bermuda;3;Yes;Yes;;;;;;;;;;;;;;;;
Bhutan;2;;;;;;;;;;;;;;;;;;
Bolivia;2;;;;;;;;;;;;;;;;;;
Bonaire;2;;;;;;;;;;;;;;;;;;
Bosnia and Herzegovina;3;Yes;No;;;;;;;;;;;;;;;;
Botswana;2;;;;;;;;;;;;;;;;;;
Brazil;7;Yes;Yes;Yes;Yes;Yes;Yes;;;;;;;;;;;;
British Virgin Islands;3;Yes;Yes;;;;;;;;;;;;;;;;
Brunei;4;Yes;Yes;Yes;;;;;;;;;;;;;;;
Bulgaria;4;Yes;Yes;Yes;;;;;;;;;;;;;;;
Burkina Faso;3;Yes;No;;;;;;;;;;;;;;;;
Burundi;2;;;;;;;;;;;;;;;;;;
Cambodia;2;;;;;;;;;;;;;;;;;;
Cameroon;2;;;;;;;;;;;;;;;;;;
Canada;Yes5;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;;;
Cape Verde;2;;;;;;;;;;;;;;;;;;
Caribbean Netherlands;3;Yes;Yes;;;;;;;;;;;;;;;;
Cayman Islands;3;Yes;Yes;;;;;;;;;;;;;;;;
Central African Republic;3;Yes;No;;;;;;;;;;;;;;;;
Chad;2;;;;;;;;;;;;;;;;;;
Chile;5;Yes;No;Yes;Yes;;;;;;;;;;;;;;
China;Yes2;Yes;Yes;Yes;Yes;;Yes;Yes;;Yes;Yes;Yes;Yes;;;Yes;;;
Christmas Island;2;;;;;;;;;;;;;;;;;;
Cocos (Keeling) Islands;2;;;;;;;;;;;;;;;;;;
Colombia;3;;;Yes;;;;;;;;;;;;;;;
Comoros;2;;;;;;;;;;;;;;;;;;
DR Congo;3;Yes;No;;;;;;;;;;;;;;;;
Congo;2;;;;;;;;;;;;;;;;;;
Cook Islands;2;;;;;;;;;;;;;;;;;;
Costa Rica;2;;;;;;;;;;;;;;;;;;
Croatia;7;Yes;Yes;Yes;Yes;Yes;;Yes;;;;;;;;;;;
Cuba;2;;;;;;;;;;;;;;;;;;
Curaçao;2;;;;;;;;;;;;;;;;;;
Cyprus;2;;;;;;;;;;;;;;;;;;
Czech Republic;YesNo;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;;;;;;;
Denmark;YesNo;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;;;;;;;;
Djibouti;2;;;;;;;;;;;;;;;;;;
Dominica;2;;;;;;;;;;;;;;;;;;
Dominican Republic;4;Yes;Yes;Yes;;;;;;;;;;;;;;;
East Timor;2;;;;;;;;;;;;;;;;;;
Ecuador;2;;;;;;;;;;;;;;;;;;
Egypt;4;Yes;Yes;Yes;;;;;;;;;;;;;;;
El Salvador;3;;;;Yes;;;;;;;;;;;;;;
Equatorial Guinea;2;;;;;;;;;;;;;;;;;;
Eritrea;2;;;;;;;;;;;;;;;;;;
Estonia;6;Yes;Yes;Yes;;Yes;Yes;;;;;;;;;;;;
Eswatini;2;;;;;;;;;;;;;;;;;;
Ethiopia;2;;;;;;;;;;;;;;;;;;
Falkland Islands;2;;;;;;;;;;;;;;;;;;
Faroe Islands;2;;;;;;;;;;;;;;;;;;
Fiji;2;;;;;;;;;;;;;;;;;;
Finland;YesYes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;Yes;;;;;;
France;YesYes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;;Yes;;;;;
French Guiana;3;Yes;No;;;;;;;;;;;;;;;;
French Polynesia;2;;;;;;;;;;;;;;;;;;
Gabon;3;Yes;No;;;;;;;;;;;;;;;;
Gambia;2;;;;;;;;;;;;;;;;;;
Georgia;2;;;;;;;;;;;;;;;;;;
Germany;YesYes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;;Yes;;;;;
Ghana;2;;;;;;;;;;;;;;;;;;
Gibraltar;6;Yes;Yes;Yes;;Yes;;;;;;Yes;;;;;;;
Greece;7;Yes;Yes;Yes;Yes;Yes;;;;Yes;;;;;;;;;
Greenland;2;;;;;;;;;;;;;;;;;;
