service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
112459,1,1,1,1,1,0,0,20210901,20230301
112460,0,0,0,0,0,1,1,20210904,20230301
112593,1,1,1,1,1,0,0,20211118,20230301
112462,0,0,0,0,0,1,1,20210904,20230301
112689,1,1,1,1,1,0,0,20220321,20230301
112632,1,1,1,1,1,0,0,20220207,20230301
112467,0,0,0,0,0,1,1,20210904,20230301
112466,1,1,1,1,1,0,0,20210901,20230301
105322,1,1,1,1,1,0,0,20201008,20230301
112604,1,1,1,1,1,0,0,20211215,20230301
112665,1,1,1,1,1,0,0,20220301,20230301
112666,1,1,1,1,1,0,0,20220301,20230301
112664,0,0,0,0,0,1,1,20210305,20230301
112585,1,1,1,1,1,0,0,20211103,20230301
112582,1,1,1,1,1,0,0,20211103,20230301
112580,0,0,0,0,0,1,1,20211030,20230301
112473,1,1,1,1,1,0,0,20210901,20230301
112474,0,0,0,0,0,1,1,20210904,20230301
112630,1,1,1,1,1,0,0,20220124,20230301
112598,0,0,0,0,0,1,1,20211120,20230301
112479,1,1,1,1,1,0,0,20210901,20230301
112587,0,0,0,0,0,0,1,20211107,20230301
112586,0,0,0,0,0,1,0,20211106,20230301
112583,1,1,1,1,1,0,0,20211103,20230301
112668,1,1,1,1,1,0,0,20211005,20230301
112599,0,0,0,0,0,1,1,20211120,20230301
112596,1,1,1,1,1,0,0,20211118,20230301
112350,1,1,1,1,1,0,0,20210517,20230301
98944,0,0,0,0,0,1,1,20200905,20230301
112669,1,1,1,1,1,0,0,20211005,20230301
112488,0,0,0,0,0,1,1,20210904,20230301
112584,1,1,1,1,1,0,0,20211103,20230301
112579,0,0,0,0,0,1,1,20211030,20230301
112491,1,1,1,1,1,0,0,20210901,20230301
112633,1,1,1,1,1,0,0,20220207,20230301
112493,0,0,0,0,0,1,1,20210904,20230301
112634,1,1,1,1,1,0,0,20220207,20230301
112495,0,0,0,0,0,1,1,20210904,20230301
112497,0,0,0,0,0,1,1,20210904,20230301
112496,1,1,1,1,1,0,0,20210901,20230301
112635,1,1,1,1,1,0,0,20220207,20230301
112499,0,0,0,0,0,1,1,20210904,20230301
112500,1,1,1,1,1,0,0,20210901,20230301
112636,1,1,1,1,1,0,0,20220207,20230301
112502,1,1,1,1,1,0,0,20210901,20230301
112503,0,0,0,0,0,1,1,20210904,20230301
112672,0,0,0,0,0,1,1,20220305,20230301
112688,1,1,1,1,1,0,0,20211005,20230301
112507,0,0,0,0,0,1,1,20210904,20230301
112506,1,1,1,1,1,0,0,20210901,20230301
112509,0,0,0,0,0,1,1,20210904,20230301
112508,1,1,1,1,1,0,0,20210901,20230301
112637,1,1,1,1,1,0,0,20220207,20230301
112612,0,0,0,0,0,1,1,20211218,20230301
112513,1,1,1,1,1,0,0,20210901,20230301
112514,0,0,0,0,0,1,1,20210904,20230301
112607,1,1,1,1,1,0,0,20211215,20230301
112564,0,0,0,0,0,1,1,20211009,20230301
112639,1,1,1,1,1,0,0,20220207,20230301
112629,0,0,0,0,0,1,1,20220122,20230301
112522,0,0,0,0,0,1,1,20210904,20230301
107923,1,1,1,1,1,0,0,20201123,20230301
102560,0,0,0,0,0,1,1,20200905,20230301
112559,1,1,1,1,1,0,0,20210901,20230301
112526,0,0,0,0,0,1,1,20210904,20230301
112525,1,1,1,1,1,0,0,20210901,20230301
112528,0,0,0,0,0,1,1,20210904,20230301
112527,1,1,1,1,1,0,0,20210901,20230301
112674,1,1,1,1,1,0,0,20220321,20230301
112532,0,0,0,0,0,1,1,20210904,20230301
112675,1,1,1,1,1,0,0,20220321,20230301
112676,1,1,1,1,1,0,0,20220321,20230301
112535,0,0,0,0,0,1,1,20210904,20230301
112677,1,1,1,1,1,0,0,20220321,20230301
112537,0,0,0,0,0,1,1,20210904,20230301
112609,1,1,1,1,1,0,0,20211215,20230301
112568,0,0,0,0,0,1,1,20211030,20230301
112541,0,0,0,0,0,1,1,20210904,20230301
112540,1,1,1,1,1,0,0,20210901,20230301
112543,0,0,0,0,0,1,1,20210904,20230301
112542,1,1,1,1,1,0,0,20210901,20230301
112678,1,1,1,1,1,0,0,20220321,20230301
112569,0,0,0,0,0,1,1,20211030,20230301
112679,1,1,1,1,1,0,0,20220321,20230301
112570,0,0,0,0,0,1,1,20211030,20230301
112549,0,0,0,0,0,1,1,20210904,20230301
112548,1,1,1,1,1,0,0,20210901,20230301
112610,1,1,1,1,1,0,0,20211215,20230301
112551,0,0,0,0,0,1,1,20210904,20230301
112553,0,0,0,0,0,1,1,20210904,20230301
112552,1,1,1,1,1,0,0,20210901,20230301
112680,1,1,1,1,1,0,0,20220321,20230301
112555,0,0,0,0,0,1,1,20210904,20230301
112681,1,1,1,1,1,0,0,20220321,20230301
112557,0,0,0,0,0,1,1,20210904,20230301
