fare_id,route_id,origin_id,destination_id,contains_id
80,kaunas_bus_3,,,
58,kaunas_bus_3,,,
80,kaunas_bus_6,,,
58,kaunas_bus_6,,,
80,kaunas_bus_6A,,,
58,kaunas_bus_6A,,,
80,kaunas_bus_6G,,,
58,kaunas_bus_6G,,,
80,kaunas_bus_17,,,
58,kaunas_bus_17,,,
80,kaunas_bus_17G,,,
58,kaunas_bus_17G,,,
80,kaunas_bus_18,,,
58,kaunas_bus_18,,,
80,kaunas_bus_19,,,
58,kaunas_bus_19,,,
80,kaunas_bus_20,,,
58,kaunas_bus_20,,,
80,kaunas_bus_21,,,
58,kaunas_bus_21,,,
80,kaunas_bus_22,,,
58,kaunas_bus_22,,,
80,kaunas_bus_23,,,
58,kaunas_bus_23,,,
80,kaunas_bus_26,,,
58,kaunas_bus_26,,,
80,kaunas_bus_27G,,,
58,kaunas_bus_27G,,,
80,kaunas_bus_28,,,
58,kaunas_bus_28,,,
80,kaunas_bus_29G,,,
58,kaunas_bus_29G,,,
80,kaunas_bus_31,,,
58,kaunas_bus_31,,,
80,kaunas_bus_31A,,,
58,kaunas_bus_31A,,,
80,kaunas_bus_32,,,
58,kaunas_bus_32,,,
80,kaunas_bus_33,,,
58,kaunas_bus_33,,,
80,kaunas_bus_34G,,,
58,kaunas_bus_34G,,,
80,kaunas_bus_35,,,
58,kaunas_bus_35,,,
80,kaunas_bus_35A,,,
58,kaunas_bus_35A,,,
80,kaunas_bus_36,,,
58,kaunas_bus_36,,,
80,kaunas_bus_37,,,
58,kaunas_bus_37,,,
80,kaunas_bus_38,,,
58,kaunas_bus_38,,,
80,kaunas_bus_39,,,
58,kaunas_bus_39,,,
80,kaunas_bus_40,,,
58,kaunas_bus_40,,,
80,kaunas_bus_41,,,
58,kaunas_bus_41,,,
80,kaunas_bus_42,,,
58,kaunas_bus_42,,,
80,kaunas_bus_43,,,
58,kaunas_bus_43,,,
80,kaunas_bus_44,,,
58,kaunas_bus_44,,,
80,kaunas_bus_45,,,
58,kaunas_bus_45,,,
80,kaunas_bus_46,,,
58,kaunas_bus_46,,,
80,kaunas_bus_47,,,
58,kaunas_bus_47,,,
80,kaunas_bus_47M,,,
58,kaunas_bus_47M,,,
80,kaunas_bus_48,,,
58,kaunas_bus_48,,,
80,kaunas_bus_49,,,
58,kaunas_bus_49,,,
80,kaunas_bus_54,,,
58,kaunas_bus_54,,,
80,kaunas_bus_57G,,,
58,kaunas_bus_57G,,,
80,kaunas_bus_61,,,
58,kaunas_bus_61,,,
80,kaunas_bus_63,,,
58,kaunas_bus_63,,,
80,kaunas_bus_64,,,
58,kaunas_bus_64,,,
80,kaunas_bus_65,,,
58,kaunas_bus_65,,,
80,kaunas_bus_65A,,,
58,kaunas_bus_65A,,,
80,kaunas_bus_67,,,
58,kaunas_bus_67,,,
80,kaunas_bus_68,,,
58,kaunas_bus_68,,,
80,kaunas_trol_1,,,
58,kaunas_trol_1,,,
80,kaunas_trol_2,,,
58,kaunas_trol_2,,,
80,kaunas_trol_4,,,
58,kaunas_trol_4,,,
80,kaunas_trol_5,,,
58,kaunas_trol_5,,,
80,kaunas_trol_7,,,
58,kaunas_trol_7,,,
80,kaunas_trol_8,,,
58,kaunas_trol_8,,,
80,kaunas_trol_9,,,
58,kaunas_trol_9,,,
80,kaunas_trol_10,,,
58,kaunas_trol_10,,,
80,kaunas_trol_10A,,,
58,kaunas_trol_10A,,,
80,kaunas_trol_11,,,
58,kaunas_trol_11,,,
80,kaunas_trol_12,,,
58,kaunas_trol_12,,,
80,kaunas_trol_13,,,
58,kaunas_trol_13,,,
80,kaunas_trol_14,,,
58,kaunas_trol_14,,,
80,kaunas_trol_15,,,
58,kaunas_trol_15,,,
80,kaunas_trol_16,,,
58,kaunas_trol_16,,,
