stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
15621,,"Didvyriai",,54.95209,23.77661,https://www.stops.lt/kaunas/index.html#stop/868,,
14622,,"Kaniūkai",,54.91948,23.82979,https://www.stops.lt/kaunas/index.html#stop/2003,,
15553,,"Kauno ligoninė",,54.87882,23.94589,https://www.stops.lt/kaunas/index.html#stop/4026,,
14458,,"Kėdainių g.",,54.90765,23.87573,https://www.stops.lt/kaunas/index.html#stop/1002,,
15507,,"Keleivių išlaipinimo aikštelė",,54.91611,23.86003,https://www.stops.lt/kaunas/index.html#stop/5001,,
14803,,"Lazdynėlių g.",,54.93531,23.87867,https://www.stops.lt/kaunas/index.html#stop/3019,,
2927,,"Raguoliai",,54.86129,24.05551,https://www.stops.lt/kaunas/index.html#stop/649,,
2928,,"Raguoliai",,54.86098,24.05483,https://www.stops.lt/kaunas/index.html#stop/650,,
14323,,"Stovėjimo aikštelė",,54.93833,23.89123,https://www.stops.lt/kaunas/index.html#stop/1001,,
15638,,"Urmo turgaus aikštelė",,54.91697,23.99822,https://www.stops.lt/kaunas/index.html#stop/856n,,
2929,,"Žiegždrių kryžkelė",,54.86964,24.06715,https://www.stops.lt/kaunas/index.html#stop/651,,
2930,,"Žiegždrių kryžkelė",,54.86937,24.06658,https://www.stops.lt/kaunas/index.html#stop/652,,
15103,,"Pėsčiųjų tiltas",,54.93386,23.93002,https://www.stops.lt/kaunas/index.html#stop/812,,
15489,,"Švyturių g.",,54.94960,23.77689,https://www.stops.lt/kaunas/index.html#stop/851,,
15122,,"Aukštutinių Kaniūkų g.",,54.92608,23.80350,https://www.stops.lt/kaunas/index.html#stop/815,,
15123,,"Aukštutinių Kaniūkų g.",,54.92605,23.80288,https://www.stops.lt/kaunas/index.html#stop/816,,
15596,,"Rietavo g.",,54.93127,23.88919,https://www.stops.lt/kaunas/index.html#stop/863,,
15203,,"Biruliškių g.",,54.90738,24.02360,https://www.stops.lt/kaunas/index.html#stop/832,,
15133,,"Bivylių g.",,54.93530,23.81707,https://www.stops.lt/kaunas/index.html#stop/822,,
15134,,"Bivylių g.",,54.93525,23.81743,https://www.stops.lt/kaunas/index.html#stop/823,,
15164,,"Paltiškių g.",,54.93607,23.82878,https://www.stops.lt/kaunas/index.html#stop/826,,
15165,,"Paltiškių g.",,54.93611,23.82935,https://www.stops.lt/kaunas/index.html#stop/827,,
15076,,"Brastos g.",,54.90396,23.87419,https://www.stops.lt/kaunas/index.html#stop/808,,
15033,,"Sakalų g.",,54.94599,23.76940,https://www.stops.lt/kaunas/index.html#stop/804,,
2978,,"Aukščių g.",,54.96591,23.91873,https://www.stops.lt/kaunas/index.html#stop/584,,
2979,,"Aukščių g.",,54.96563,23.91797,https://www.stops.lt/kaunas/index.html#stop/583,,
2982,,"Domeikava",,54.96650,23.93445,https://www.stops.lt/kaunas/index.html#stop/401,,
2980,,"Domeikavos seniūnija",,54.96699,23.92284,https://www.stops.lt/kaunas/index.html#stop/558,,
2981,,"Domeikavos seniūnija",,54.96734,23.92432,https://www.stops.lt/kaunas/index.html#stop/402,,
2976,,"Pakalnės g.",,54.96122,23.90613,https://www.stops.lt/kaunas/index.html#stop/698,,
2977,,"Pakalnės g.",,54.96206,23.90784,https://www.stops.lt/kaunas/index.html#stop/699,,
14681,,"E. Ožeškienės g.",,54.89810,23.90267,https://www.stops.lt/kaunas/index.html#stop/1009,,
15545,,"Skubios pagalbos centras",,54.92092,23.92029,https://www.stops.lt/kaunas/index.html#stop/854,,
2914,,"Ringaudai",,54.88470,23.78953,https://www.stops.lt/kaunas/index.html#stop/636,,
2915,,"Ringaudai",,54.88437,23.78894,https://www.stops.lt/kaunas/index.html#stop/637,,
2912,,"Ringaudų pradinė mokykla",,54.88790,23.79909,https://www.stops.lt/kaunas/index.html#stop/634,,
2913,,"Ringaudų pradinė mokykla",,54.88827,23.80046,https://www.stops.lt/kaunas/index.html#stop/635,,
2967,,"Tabariškiai",,54.87933,23.78493,https://www.stops.lt/kaunas/index.html#stop/689,,
2925,,"Girionys",,54.85562,24.04722,https://www.stops.lt/kaunas/index.html#stop/647,,
2926,,"Girionys",,54.85615,24.04772,https://www.stops.lt/kaunas/index.html#stop/648,,
15208,,"Biurų centras",,54.93988,23.88612,https://www.stops.lt/kaunas/index.html#stop/833,,
