service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20300,1,1,1,1,1,0,0,20220314,20230301
20301,0,0,0,0,0,1,0,20220314,20230301
20302,0,0,0,0,0,0,1,20220314,20230301
20162,1,1,1,1,1,0,0,20220301,20230301
20163,0,0,0,0,0,1,0,20220301,20230301
20164,0,0,0,0,0,0,1,20220301,20230301
19942,1,1,1,1,1,0,0,20220117,20230301
19943,1,1,1,1,1,0,0,20220117,20230301
19602,0,0,0,0,0,1,0,20211103,20230301
19603,0,0,0,0,0,0,1,20211103,20230301
20288,0,0,0,0,0,1,0,20220307,20230301
20165,1,1,1,1,1,0,0,20220301,20230301
20289,0,0,0,0,0,0,1,20220307,20230301
19637,1,1,1,1,1,0,0,20211111,20230301
18924,0,0,0,0,0,1,0,20210816,20230301
18925,0,0,0,0,0,0,1,20210816,20230301
20378,0,0,0,0,0,1,0,20220321,20230301
20379,0,0,0,0,0,0,1,20220321,20230301
20386,1,1,1,1,1,0,0,20220314,20230301
18927,0,0,0,0,0,1,1,20210816,20230301
20313,1,1,1,1,1,0,0,20220314,20230301
19855,0,0,0,0,0,1,0,20211030,20230301
19856,0,0,0,0,0,0,1,20211030,20230301
20291,1,1,1,1,1,0,0,20220307,20230301
20097,0,0,0,0,0,1,0,20220210,20230301
20098,0,0,0,0,0,0,1,20220210,20230301
20380,0,0,0,0,0,1,0,20220321,20230301
20381,0,0,0,0,0,0,1,20220321,20230301
20387,1,1,1,1,1,0,0,20220307,20230301
19006,1,1,1,1,1,0,0,20210901,20230301
19007,0,0,0,0,0,1,0,20210901,20230301
19008,0,0,0,0,0,0,1,20210901,20230301
20350,1,1,1,1,1,0,0,20220321,20230301
20354,0,0,0,0,0,1,1,20220321,20230301
19933,1,1,1,1,1,0,0,20220117,20230301
18655,0,0,0,0,0,1,0,20210611,20230301
19414,0,0,0,0,0,0,1,20210611,20230301
18560,1,1,1,1,1,0,0,20210604,20230301
18561,0,0,0,0,0,1,0,20210604,20230301
18562,0,0,0,0,0,0,1,20210604,20230301
20292,1,1,1,1,1,0,0,20220307,20230301
20169,0,0,0,0,0,1,0,20220301,20230301
20170,0,0,0,0,0,0,1,20220301,20230301
19074,1,1,1,1,1,0,0,20210901,20230301
18986,0,0,0,0,0,1,0,20210816,20230301
19830,0,0,0,0,0,0,1,20210816,20230301
20025,0,0,0,0,0,0,1,20220207,20230301
20042,1,1,1,1,1,0,0,20220117,20230301
19816,0,0,0,0,0,1,0,20211206,20230301
