stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
9483,,"1-asis Lentvaris",,54.64437,25.06552,https://www.stops.lt/vilnius/index.html#stop/3906,,
9560,,"AP vartai",,54.72120,25.29556,https://www.stops.lt/vilnius/index.html#stop/0018,,
9102,,"Bijūnų st.",,54.66740,25.21588,https://www.stops.lt/vilnius/index.html#stop/1631,,
16291,,"Geležinio Vilko st.",,54.75762,25.27183,https://www.stops.lt/vilnius/index.html#stop/2145,,
16295,,"Geležinio Vilko st.",,54.75848,25.27229,https://www.stops.lt/vilnius/index.html#stop/2146,,
8258,,"Kaimelio žiedas",,54.73141,25.24430,https://www.stops.lt/vilnius/index.html#stop/3890,,
16305,,"Kairėnai",,54.73646,25.40379,https://www.stops.lt/vilnius/index.html#stop/1015,,
16306,,"Kairėnai",,54.73664,25.40210,https://www.stops.lt/vilnius/index.html#stop/3526,,
10310,,"Skirgiškės",,54.82865,25.36410,https://www.stops.lt/vilnius/index.html#stop/2300,,
10359,,"Vikingų slėnis",,54.65304,25.28045,https://www.stops.lt/vilnius/index.html#stop/1523,,
16307,,"Kairėnai",,54.73719,25.40245,https://www.stops.lt/vilnius/index.html#stop/1029,,
9481,,"Bališkės",,54.64632,25.09966,https://www.stops.lt/vilnius/index.html#stop/3904,,
9482,,"Bališkės",,54.64613,25.09864,https://www.stops.lt/vilnius/index.html#stop/3905,,
8291,,"Mykolo Lietuvio st.",,54.74380,25.22603,https://www.stops.lt/vilnius/index.html#stop/3838,,
16323,,"Mykolo Lietuvio st.",,54.74254,25.22692,https://www.stops.lt/vilnius/index.html#stop/3837,,
1017,,"Antakalnio žiedas",,54.72291,25.31872,https://www.stops.lt/vilnius/index.html#stop/1118,,
5483,,"Antakalnio žiedas",,54.72232,25.31887,https://www.stops.lt/vilnius/index.html#stop/1118a,,
5485,,"Antakalnio žiedas",,54.72274,25.31912,https://www.stops.lt/vilnius/index.html#stop/1118c,,
7562,,"Antakalnio žiedas",,54.72291,25.31872,https://www.stops.lt/vilnius/index.html#stop/1133,,
5118,,"Antakalnis",,54.71960,25.31724,https://www.stops.lt/vilnius/index.html#stop/1115,,
6711,,"Antakalnis",,54.72106,25.31821,https://www.stops.lt/vilnius/index.html#stop/1116,,
5095,,"Klinikų st.",,54.71125,25.31486,https://www.stops.lt/vilnius/index.html#stop/1110,,
5096,,"Klinikų st.",,54.71058,25.31437,https://www.stops.lt/vilnius/index.html#stop/1109,,
5820,,"Leono Sapiegos st.",,54.69630,25.30809,https://www.stops.lt/vilnius/index.html#stop/1103,,
5826,,"Leono Sapiegos st.",,54.69697,25.30873,https://www.stops.lt/vilnius/index.html#stop/1104,,
5819,,"Petro Vileišio st.",,54.70165,25.30922,https://www.stops.lt/vilnius/index.html#stop/1105,,
6702,,"Petro Vileišio st.",,54.70313,25.31002,https://www.stops.lt/vilnius/index.html#stop/1106,,
5092,,"Šilo tiltas",,54.70545,25.31096,https://www.stops.lt/vilnius/index.html#stop/1108,,
5818,,"Šilo tiltas",,54.70447,25.31024,https://www.stops.lt/vilnius/index.html#stop/1107,,
1035,,"Tverečiaus st.",,54.71619,25.31646,https://www.stops.lt/vilnius/index.html#stop/1113,,
5119,,"Tverečiaus st.",,54.71750,25.31659,https://www.stops.lt/vilnius/index.html#stop/1114,,
5476,,"Lizdeikos st.",,54.72728,25.31552,https://www.stops.lt/vilnius/index.html#stop/1121,,
5490,,"Lizdeikos st.",,54.72720,25.31625,https://www.stops.lt/vilnius/index.html#stop/1132,,
741,,"Nemenčinės plentas",,54.72278,25.32004,https://www.stops.lt/vilnius/index.html#stop/1119,,
5117,,"Nemenčinės plentas",,54.72385,25.32007,https://www.stops.lt/vilnius/index.html#stop/1117,,
3566,,"Saulėtekis",,54.72719,25.32671,https://www.stops.lt/vilnius/index.html#stop/1021,,
5103,,"Saulėtekis",,54.72622,25.32482,https://www.stops.lt/vilnius/index.html#stop/1122,,
5107,,"Gedimino technikos universitetas",,54.72385,25.33566,https://www.stops.lt/vilnius/index.html#stop/1003,,
5116,,"Gedimino technikos universitetas",,54.72412,25.33451,https://www.stops.lt/vilnius/index.html#stop/1002,,
5104,,"Saulėtekis",,54.72624,25.32752,https://www.stops.lt/vilnius/index.html#stop/1001,,
5105,,"Vilniaus universitetas",,54.72454,25.33199,https://www.stops.lt/vilnius/index.html#stop/1023,,
6715,,"Vilniaus universitetas",,54.72489,25.33134,https://www.stops.lt/vilnius/index.html#stop/1022,,
5091,,"Šilo tiltas",,54.70519,25.31007,https://www.stops.lt/vilnius/index.html#stop/1129,,
6886,,"Lyglaukiai",,54.70277,25.35406,https://www.stops.lt/vilnius/index.html#stop/1126,,
6882,,"Šilo st.",,54.69905,25.34770,https://www.stops.lt/vilnius/index.html#stop/1127,,
6880,,"Viršupis",,54.69579,25.34397,https://www.stops.lt/vilnius/index.html#stop/1128,,
4520,,"Bistryčios st.",,54.70840,25.33044,https://www.stops.lt/vilnius/index.html#stop/1130,,
