service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
29223,1,1,1,1,1,0,0,20200326,20210301
29148,0,0,0,0,0,1,0,20200319,20210301
29201,0,0,0,0,0,0,1,20200319,20210301
27404,0,0,0,0,0,1,1,20191201,20210301
28980,0,0,0,0,0,1,0,20200319,20210301
29195,1,1,1,1,1,0,0,20200326,20210301
28861,1,1,1,1,1,0,0,20200319,20210301
29185,1,1,1,1,1,0,0,20200326,20210301
29233,0,0,0,0,0,1,0,20200319,20210301
28945,1,1,1,1,1,0,0,20200319,20210301
28866,1,1,1,1,1,0,0,20200319,20210301
29239,0,0,0,0,0,1,0,20200319,20210301
28937,1,1,1,1,1,0,0,20200319,20210301
28944,0,0,0,0,0,0,1,20200319,20210301
29171,1,1,1,1,1,0,0,20200326,20210301
29238,1,1,1,1,1,0,0,20200326,20210301
29183,1,1,1,1,1,0,0,20200326,20210301
29242,0,0,0,0,0,1,0,20200319,20210301
29179,1,1,1,1,1,0,0,20200326,20210301
29172,0,0,0,0,0,1,1,20200319,20210301
29011,0,0,0,0,0,0,1,20200319,20210301
28667,0,0,0,0,0,1,0,20191201,20210301
27432,0,0,0,0,0,0,1,20191201,20210301
28889,0,0,0,0,0,1,0,20200319,20210301
28888,1,1,1,1,1,0,0,20200319,20210301
28969,0,0,0,0,0,0,1,20200319,20210301
29170,0,0,0,0,0,0,1,20200319,20210301
27492,0,0,0,0,0,1,1,20191201,20210301
29019,0,0,0,0,0,1,0,20200319,20210301
29022,0,0,0,0,0,1,1,20200319,20210301
28968,0,0,0,0,0,1,0,20200319,20210301
28952,0,0,0,0,0,1,0,20200319,20210301
25124,1,1,1,1,1,0,0,20190901,20201101
27575,0,0,0,0,0,0,1,20191201,20210301
29055,1,1,1,1,1,0,0,20200320,20210301
27619,0,0,0,0,0,1,0,20191201,20210301
23563,0,0,0,0,0,1,0,20190622,20201101
28129,0,0,0,0,0,1,0,20200101,20210301
24975,0,0,0,0,0,0,1,20190909,20201101
23708,1,1,1,1,1,0,0,20190622,20201101
23697,1,1,1,1,1,0,0,20190622,20200801
23738,1,1,1,1,1,0,0,20190622,20200801
19560,0,0,0,0,0,1,0,20181208,20200601
25009,1,1,1,1,1,0,0,20190901,20201101
27419,1,1,1,1,1,0,0,20191201,20210301
23736,0,0,0,0,0,1,0,20190622,20200801
27423,0,0,0,0,0,1,0,20191201,20201201
29061,1,1,1,1,1,0,0,20200319,20210301
21092,0,0,0,0,0,1,1,20190301,20200601
23696,0,0,0,0,0,0,1,20190622,20201101
22264,0,0,0,0,0,0,1,20190424,20200601
24992,0,0,0,0,0,0,1,20190909,20210301
21098,0,0,0,0,0,1,0,20190301,20200601
25148,0,0,0,0,0,0,1,20191103,20201101
21067,0,0,0,0,0,1,1,20190616,20200601
24980,0,0,0,0,0,1,0,20190901,20210301
25099,0,0,0,0,0,1,0,20190901,20201101
21051,0,0,0,0,0,1,1,20190301,20200401
27613,0,0,0,0,0,1,0,20191201,20210301
21847,1,1,1,1,1,0,0,20190401,20200601
27573,1,1,1,1,1,0,0,20191201,20210301
27508,0,0,0,0,0,1,0,20191201,20210301
28993,0,0,0,0,0,1,0,20200319,20210301
20739,0,0,0,0,0,0,1,20190209,20200601
25051,0,0,0,0,0,0,1,20190901,20200901
27517,0,0,0,0,0,1,0,20191201,20210301
23531,0,0,0,0,0,1,0,20190622,20200801
19117,1,1,1,1,1,0,0,20181201,20200601
25003,1,1,1,1,1,0,0,20190901,20201101
21096,0,0,0,0,0,0,1,20190301,20200601
23750,0,0,0,0,0,0,1,20190622,20200801
22002,1,1,1,1,1,0,0,20190301,20200601
21477,1,1,1,1,1,0,0,20190323,20200601
28267,0,0,0,0,0,0,1,20200106,20210301
25022,0,0,0,0,0,1,0,20190901,20201101
17945,0,0,0,0,0,1,0,20180804,20200601
24974,0,0,0,0,0,1,0,20190901,20201101
