service_id,date,exception_type
29205,20201101,2
29205,20200815,2
29205,20200624,2
29205,20200501,2
29202,20200501,2
29184,20210216,2
29184,20210101,2
29197,20210216,2
29230,20201224,2
29236,20200501,2
29236,20210101,2
29204,20201226,1
29204,20200706,1
29204,20200501,1
29206,20210216,2
28916,20201224,1
29226,20201101,2
29226,20210101,2
29224,20200624,2
29228,20201224,1
29228,20200706,1
29198,20210101,1
29198,20200815,1
29219,20201224,2
29147,20201225,2
29147,20200501,2
28972,20201226,1
28987,20201225,2
29217,20200706,2
29214,20201224,2
29213,20201226,2
29213,20200815,2
29188,20201226,1
29188,20200815,1
29199,20210216,2
28970,20201225,2
28970,20201101,2
28970,20210101,2
29222,20200815,1
29222,20200624,1
29222,20210101,1
29235,20201101,2
29235,20200624,2
29235,20210101,2
29218,20201225,1
29186,20200706,2
29186,20210101,2
29227,20201225,2
29187,20201226,2
29187,20201101,2
29187,20200624,2
29221,20201225,2
29221,20201101,2
29161,20201226,2
29161,20201101,2
28821,20201101,2
28821,20200624,2
28821,20210101,2
29160,20201226,2
29160,20201224,2
28979,20201226,2
28979,20200624,2
29201,20200815,1
27403,20210216,2
27403,20200815,2
27403,20200501,2
29159,20201224,1
29200,20201226,2
29200,20200706,2
29163,20200624,2
29149,20200815,1
28976,20200624,2
28977,20201101,2
28977,20200706,2
29158,20200706,2
29158,20200501,2
29158,20210216,2
29156,20210101,2
29154,20200624,2
29164,20201224,2
29164,20200706,2
29164,20200624,2
29164,20200501,2
28137,20200815,2
28137,20200624,2
28137,20200501,2
28963,20210101,1
28962,20201225,2
28962,20201101,2
28962,20200624,2
28962,20210216,2
28837,20201226,2
28837,20200815,2
29237,20201224,1
29191,20200624,2
29193,20210101,1
29155,20201226,1
28971,20200815,2
28980,20201226,2
28980,20201224,2
28981,20200501,1
28988,20200501,1
29196,20200706,1
29196,20200501,1
29195,20210101,2
29054,20200624,1
28863,20201101,1
28863,20200624,1
28859,20201225,2
28859,20200706,2
28858,20200624,2
28975,20201101,1
28850,20201225,2
28850,20200624,2
28850,20200501,2
28860,20200815,1
28851,20201226,2
28851,20201101,2
28948,20201226,2
28948,20210216,2
28912,20201224,1
28912,20200706,1
28912,20200501,1
29165,20201225,1
28133,20201226,1
28908,20200501,2
28907,20200706,2
28907,20210101,2
29207,20210216,2
28949,20201225,2
28949,20200815,2
