agency_id,route_id,route_short_name,route_long_name,route_type,route_desc,route_color,route_text_color,bikes_allowed
59,238,6,"Žirmūnai–Kalvarijų–J. Basanavičiaus g.–Žemieji Paneriai",800,,DC3131,FFFFFF,
59,193,33,"Šiaurės miestelis–Rinktinės–Sukilėlių g.–Guriai",3,,0073AC,FFFFFF,
59,3532,114,"Šiaurės miestelis–Antakalnis–Mileišiškių –S.Kerbedžio g.–Dvarčionys–Vinciūniškės",3,,0073AC,FFFFFF,
59,242,17,Žirmūnai–Naujininkai,800,,DC3131,FFFFFF,
59,218,48,"Šeškinė–Pašilaičiai–Santariškės",3,,0073AC,FFFFFF,
59,255,17-2,"Antakalnis–Nemenčinės pl.–Antaviliai null",3,,0073AC,FFFFFF,
59,253,59,"Grigiškės–Lazdynai–Laisvės pr.–Žvėrynas",3,,0073AC,FFFFFF,
59,180,3,"Stotis–Eišiškių pl.–Dilgynė–Salininkai–Vaidotai",3,,0073AC,FFFFFF,
59,229,1,"Karoliniškės–Žvėrynas–Stotis",800,,DC3131,FFFFFF,
59,192,78,"Stotis–Eišiškių pl.–Pagiriai",3,,0073AC,FFFFFF,
59,245,12,"Žirmūnai–Šeimyniškių–J. Basanavičiaus g.–Žemieji Paneriai",800,,DC3131,FFFFFF,
59,210,41,"Stotis–Eišiškių pl.–Užusienis",3,,0073AC,FFFFFF,
59,209,46,"Pašilaičiai–A.Goštauto g.–Centras",3,,0073AC,FFFFFF,
59,190,28,"Žemieji Paneriai–Grigiškės–Valai",3,,0073AC,FFFFFF,
59,168,4,"Stotis–Rodūnios kelias–Kirtimai",3,,0073AC,FFFFFF,
59,164,22,"Lazdynai–Oslo g.–Centras",3,,0073AC,FFFFFF,
59,5868,62,"Žemieji Paneriai–Mūrinė Vokė– Gureliai–Lazdynai",3,,0073AC,FFFFFF,
59,228,57,"Fabijoniškės–Ateities g.–Jeruzalė–Bajorai–Bukiškis",3,,0073AC,FFFFFF,
59,224,14,"Rudamina–Didžiasalis–Grigaičiai–Parko–Arimų g.",3,,0073AC,FFFFFF,
59,163,67,"Parko–Pramonės g.–Mickūnai",3,,0073AC,FFFFFF,
59,171,68,"Lazdynai–Mūrinė Vokė–Lentvaris–Grigiškės",3,,0073AC,FFFFFF,
59,240,50,"Antakalnis–Didlaukio–Baltupio g.–Bajorai",3,,0073AC,FFFFFF,
59,176,8,"Žemieji Paneriai–Aukštieji Paneriai–Vaidotai",3,,0073AC,FFFFFF,
59,205,37,"Kalvarijų–Tuskulėnų–Olandų g.–Rokantiškės",3,,0073AC,FFFFFF,
59,5221,88,"Oro uostas–Centras–Europos aikštė",3,,0073AC,FFFFFF,
59,216,82,"Stotis–Salininkai–Miškiniai–Juodšiliai",3,,0073AC,FFFFFF,
59,230,52,"Centras–Ukmergės g.–Tarandė",3,,0073AC,FFFFFF,
59,226,2,"Saulėtekis–Žygimantų g.–Stotis",800,,DC3131,FFFFFF,
59,204,38,"Antakalnis–Dvarčionys–Vismaliukai–Šilėnų g.",3,,0073AC,FFFFFF,
59,207,2G,"Santariškės–Laisvės pr.–Stotis",3,,008000,FFFFFF,
59,219,3G,"Fabijoniškės–Centras–Oro uostas",3,,008000,FFFFFF,
59,234,3-2,"Karoliniškės–Žvėrynas–Šiaurės miestelis null",800,,DC3131,FFFFFF,
59,211,6G,"Parko–Olandų g.–Žaliasis tiltas",3,,008000,FFFFFF,
59,181,2-2,"Stotis–Liepkalnio–Vikingų g.–Oro uostas null",3,,0073AC,FFFFFF,
59,4081,30,"Pilaitė–Konstitucijos pr.–Apkasų g.–Šiaurės miestelis",3,,0073AC,FFFFFF,
59,241,16,"Pašilaičiai–Lazdynai–Stotis",800,,DC3131,FFFFFF,
59,254,18,"Antakalnis–Dvarčionys–Parko g.",3,,0073AC,FFFFFF,
59,199,32,"Žvėrynas–Zujūnai–Gineitiškės–Pašilaičiai",3,,0073AC,FFFFFF,
59,189,29,"Vilkpėdė–Žemaitės g.–Lazdynai–Grigiškės",3,,0073AC,FFFFFF,
59,201,31,"Stotis–Pavilnys–Naujoji Vilnia",3,,0073AC,FFFFFF,
59,169,4G,"Pilaitė–Konstitucijos pr.–Saulėtekis",3,,008000,FFFFFF,
