stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code
3913,Stankutiškės,54.620421,25.389962,,,3913,"http://www.visimarsrutai.lt/#/stop/result?stopId=3913",,,,,,
4751,Lyta,54.698099,25.493329,,,4751,"http://www.visimarsrutai.lt/#/stop/result?stopId=4751",,,,,,
4762,Bendorėliai,54.788411,25.194700,,,4762,"http://www.visimarsrutai.lt/#/stop/result?stopId=4762",,,,,,
4779,Nemėžis,54.640460,25.356377,,,4779,"http://www.visimarsrutai.lt/#/stop/result?stopId=4779",,,,,,
5006,Buivydiškės,54.716722,25.196594,,,5006,"http://www.visimarsrutai.lt/#/stop/result?stopId=5006",,,,,,
5730,Sodai,54.642422,25.346623,,,5730,"http://www.visimarsrutai.lt/#/stop/result?stopId=5730",,,,,,
5811,Gariūnai,54.655904,25.148668,,,5811,"http://www.visimarsrutai.lt/#/stop/result?stopId=5811",,,,,,
6187,Lentvaris,54.645209,25.052995,,,6187,"http://www.visimarsrutai.lt/#/stop/result?stopId=6187",,,,,,
9568,Sodai,54.642976,25.345727,,,9568,"http://www.visimarsrutai.lt/#/stop/result?stopId=9568",,,,,,
9695,Medelynas,54.750920,25.213828,,,9695,"http://www.visimarsrutai.lt/#/stop/result?stopId=9695",,,,,,
10568,Gariūnai,54.653070,25.154611,,,10568,"http://www.visimarsrutai.lt/#/stop/result?stopId=10568",,,,,,
11300,Rudamina,54.592643,25.339474,,,11300,"http://www.visimarsrutai.lt/#/stop/result?stopId=11300",,,,,,
11558,Nemėžis,54.639973,25.356876,,,11558,"http://www.visimarsrutai.lt/#/stop/result?stopId=11558",,,,,,
11800,Daržininkai,54.637208,25.368512,,,11800,"http://www.visimarsrutai.lt/#/stop/result?stopId=11800",,,,,,
11960,Kineliai,54.597299,25.316567,,,11960,"http://www.visimarsrutai.lt/#/stop/result?stopId=11960",,,,,,
12654,"Minsko plentas",54.644339,25.338696,,,12654,"http://www.visimarsrutai.lt/#/stop/result?stopId=12654",,,,,,
13362,Rudamina,54.591326,25.348213,,,13362,"http://www.visimarsrutai.lt/#/stop/result?stopId=13362",,,,,,
13563,"Kauno plentas",54.654177,25.150878,,,13563,"http://www.visimarsrutai.lt/#/stop/result?stopId=13563",,,,,,
14554,"Minsko plentas",54.645001,25.337425,,,14554,"http://www.visimarsrutai.lt/#/stop/result?stopId=14554",,,,,,
