route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
230,4173395,29205,,Centras,,,942,,
229,4171770,29023,,Karoliniškės,,,1124,,
199,4171771,28962,,Pašilaičiai,,,722,,
192,4171772,29006,,Pagiriai,,,761,,
229,4171773,29023,,Karoliniškės,,,1124,,
192,4171774,29006,,Pagiriai,,,761,,
229,4171775,29023,,Karoliniškės,,,1124,,
229,4171776,29023,,Karoliniškės,,,1124,,
192,4171777,29006,,Pagiriai,,,761,,
229,4171778,29023,,Karoliniškės,,,1124,,
192,4171779,29006,,Pagiriai,,,761,,
229,4171780,29023,,Karoliniškės,,,1124,,
192,4171781,29006,,Pagiriai,,,761,,
229,4171782,29023,,Karoliniškės,,,1124,,
192,4171783,29006,,Pagiriai,,,761,,
229,4171784,29023,,Karoliniškės,,,1124,,
174,4171785,28882,,Lazdynėliai,,,996,,
189,4171786,28902,,Grigiškės,,,887,,
189,4171787,28902,,Grigiškės,,,887,,
199,4171788,28963,,Pašilaičiai,,,722,,
174,4171789,28882,,Lazdynėliai,,,996,,
174,4171790,28882,,Lazdynėliai,,,996,,
174,4171791,28882,,Lazdynėliai,,,996,,
189,4171792,28902,,Grigiškės,,,887,,
199,4171793,28962,,Pašilaičiai,,,722,,
174,4171794,28882,,Lazdynėliai,,,996,,
189,4171795,28902,,Grigiškės,,,887,,
199,4171796,28962,,Pašilaičiai,,,722,,
189,4171797,28902,,Grigiškės,,,887,,
199,4171798,28962,,Pašilaičiai,,,722,,
174,4171799,28882,,Lazdynėliai,,,996,,
189,4171800,28902,,Grigiškės,,,887,,
199,4171801,28962,,Pašilaičiai,,,722,,
174,4171802,28882,,Lazdynėliai,,,996,,
189,4171803,28902,,Grigiškės,,,887,,
199,4171804,28963,,Pašilaičiai,,,722,,
174,4171805,28882,,Lazdynėliai,,,996,,
203,4172316,29147,,Stotis,,,987,,
203,4172317,29147,,Stotis,,,987,,
203,4172318,29147,,Stotis,,,987,,
203,4172319,29147,,Stotis,,,987,,
203,4172320,29147,,Stotis,,,987,,
203,4172321,29147,,Stotis,,,987,,
203,4172322,29147,,Stotis,,,987,,
203,4172323,29147,,Stotis,,,987,,
230,4172324,28916,,Centras,,,942,,
203,4172325,29147,,Stotis,,,987,,
230,4172326,28916,,Centras,,,942,,
194,4172327,29162,,Pašilaičiai,,,1072,,
230,4172328,28916,,Centras,,,942,,
194,4172329,29162,,Pašilaičiai,,,1072,,
230,4172330,28916,,Centras,,,942,,
194,4172331,29162,,Pašilaičiai,,,1072,,
230,4172332,29205,,Centras,,,942,,
194,4172333,29162,,Pašilaičiai,,,1072,,
230,4172334,29205,,Centras,,,942,,
230,4172335,29205,,Centras,,,942,,
230,4172336,29205,,Centras,,,942,,
230,4172337,29205,,Centras,,,942,,
230,4172338,29205,,Centras,,,942,,
194,4172339,29160,,"Autobusų parkas (Verkių g.)",,,964,,
230,4172340,28916,,Centras,,,942,,
194,4172341,29160,,"Autobusų parkas (Verkių g.)",,,964,,
194,4172342,29160,,"Autobusų parkas (Verkių g.)",,,964,,
194,4172343,29160,,"Autobusų parkas (Verkių g.)",,,964,,
186,4172344,29230,,Karoliniškės,,,919,,
238,4172345,29224,,Žirmūnai,,,802,,
183,4172346,29228,,Pašilaičiai,,,995,,
186,4172347,29230,,Karoliniškės,,,919,,
238,4172348,29223,,Žirmūnai,,,802,,
183,4172349,29227,,Pašilaičiai,,,995,,
186,4172350,29230,,Karoliniškės,,,919,,
238,4172869,29225,,Žirmūnai,,,867,,
183,4172870,29228,,Pašilaičiai,,,791,,
245,4172871,29235,,"Žemieji Paneriai",,,875,,
238,4172872,29225,,Žirmūnai,,,867,,
186,4172873,29229,,Karoliniškės,,,919,,
245,4172874,29236,,"Žemieji Paneriai",,,875,,
183,4172875,29228,,"2-asis troleibusų parkas (Justiniškių g.)",,,835,,
238,4172876,29225,,Žirmūnai,,,867,,
183,4172877,29228,,"2-asis troleibusų parkas (Justiniškių g.)",,,835,,
238,4172878,29225,,Žirmūnai,,,867,,
183,4172879,29228,,"2-asis troleibusų parkas (Justiniškių g.)",,,835,,
238,4172880,29225,,Žirmūnai,,,867,,
183,4172881,29228,,"2-asis troleibusų parkas (Justiniškių g.)",,,835,,
238,4172882,29225,,Žirmūnai,,,867,,
183,4172883,29228,,"2-asis troleibusų parkas (Justiniškių g.)",,,835,,
210,4172884,28985,,Stotis,,,611,,
186,4172885,29229,,Karoliniškės,,,919,,
245,4172886,29236,,"Žemieji Paneriai",,,875,,
210,4172887,28985,,Stotis,,,611,,
186,4172888,29229,,Karoliniškės,,,919,,
245,4172889,29236,,"Žemieji Paneriai",,,875,,
210,4172890,28985,,Stotis,,,611,,
186,4172891,29229,,Karoliniškės,,,919,,
245,4172892,29236,,"Žemieji Paneriai",,,875,,
210,4172893,28985,,Stotis,,,611,,
186,4172894,29229,,Karoliniškės,,,919,,
226,4187830,29215,,Saulėtekis,,,910,,
231,4187831,29222,,"Gerosios Vilties st.",,,607,,
201,4187832,28960,,Stotis,,,1008,,
201,4187833,28960,,Stotis,,,1008,,
201,4187834,28960,,Stotis,,,1008,,
201,4187835,28960,,Stotis,,,1008,,
201,4187836,28960,,Stotis,,,1008,,
206,4188231,29196,,"Balžio g.",,,1150,,
193,4188232,29191,,"Šiaurės miestelis",,,613,,
206,4188233,29196,,"Balžio g.",,,1150,,
193,4188234,29191,,"Šiaurės miestelis",,,613,,
206,4188235,29196,,"Balžio g.",,,1150,,
193,4188236,29191,,"Šiaurės miestelis",,,613,,
206,4188237,29196,,"Balžio g.",,,1150,,
183,4188238,29227,,Stotis,,,826,,
183,4188239,29227,,Stotis,,,826,,
183,4188240,29227,,Stotis,,,826,,
183,4188241,29227,,Stotis,,,826,,
183,4188242,29227,,Stotis,,,826,,
183,4188243,29227,,Stotis,,,826,,
183,4188244,29227,,Stotis,,,826,,
183,4188245,29227,,Stotis,,,826,,
183,4188246,29227,,Stotis,,,826,,
183,4188247,29227,,Stotis,,,826,,
193,4188248,29191,,"Šiaurės miestelis",,,613,,
206,4188249,29196,,"Balžio g.",,,1150,,
193,4188250,29191,,"Šiaurės miestelis",,,613,,
206,4188251,29196,,"Balžio g.",,,1150,,
193,4188252,29191,,"Šiaurės miestelis",,,613,,
