Savivaldybe,Failas
Akmenės rajono savivaldybė,""
Alytaus miesto savivaldybė,alytus.zip
Alytaus rajono savivaldybė,""
Anykščių rajono savivaldybė,""
Birštono savivaldybė,""
Biržų rajono savivaldybė,""
Druskininkų savivaldybė,druskininkai.zip
Elektrėnų savivaldybė,""
Ignalinos rajono savivaldybė,""
Jonavos rajono savivaldybė,""
Joniškio rajono savivaldybė,""
Jurbarko rajono savivaldybė,""
Kaišiadorių rajono savivaldybė,""
Kalvarijos savivaldybė,""
Kauno miesto savivaldybė,kaunas.zip
Kauno rajono savivaldybė,""
Kazlų Rūdos savivaldybė,""
Kėdainių rajono savivaldybė,""
Kelmės rajono savivaldybė,""
Klaipėdos miesto savivaldybė,klaipeda.zip
Klaipėdos rajono savivaldybė,""
Kretingos rajono savivaldybė,""
Kupiškio rajono savivaldybė,""
Lazdijų rajono savivaldybė,""
Marijampolės savivaldybė,""
Mažeikių rajono savivaldybė,""
Molėtų rajono savivaldybė,""
Neringos savivaldybė,""
Pagėgių savivaldybė,""
Pakruojo rajono savivaldybė,""
Palangos miesto savivaldybė,""
Panevėžio miesto savivaldybė,panevezys.zip
Panevėžio rajono savivaldybė,""
Pasvalio rajono savivaldybė,""
Plungės rajono savivaldybė,""
Prienų rajono savivaldybė,""
Radviliškio rajono savivaldybė,""
Raseinių rajono savivaldybė,""
Rietavo savivaldybė,""
Rokiškio rajono savivaldybė,""
Šakių rajono savivaldybė,""
Šalčininkų rajono savivaldybė,""
Šiaulių miesto savivaldybė,siauliai.zip
Šiaulių rajono savivaldybė,""
Šilalės rajono savivaldybė,""
Šilutės rajono savivaldybė,""
Širvintų rajono savivaldybė,""
Skuodo rajono savivaldybė,""
Švenčionių rajono savivaldybė,""
Tauragės rajono savivaldybė,""
Telšių rajono savivaldybė,""
Trakų rajono savivaldybė,""
Ukmergės rajono savivaldybė,""
Utenos rajono savivaldybė,""
Varėnos rajono savivaldybė,""
Vilkaviškio rajono savivaldybė,""
Vilniaus miesto savivaldybė,vilnius.zip
Vilniaus rajono savivaldybė,""
Visagino savivaldybė,""
Zarasų rajono savivaldybė,""
