Savivaldybe,Failas
Visagino savivaldybė,Visaginoraj.zip
Ignalinos rajono savivaldybė,Ignalinosraj.zip
Zarasų rajono savivaldybė,Zarasuraj.zip
Vilkaviškio rajono savivaldybė,Vilkaviskioraj.zip
Utenos rajono savivaldybė,Utenosraj.zip
Švenčionių rajono savivaldybė,Svencioniuraj.zip
Šiaulių miesto savivaldybė,Siaulium.zip
Panevėžio miesto savivaldybė,Paneveziom.zip
Elektrėnų savivaldybė,Elektrenusav.zip
Vilniaus miesto savivaldybė,Vilniausm.zip
Marijampolės savivaldybė,Marijampolesraj.zip
Kazlų Rūdos savivaldybė,Kazlurudosraj.zip
Kalvarijos savivaldybė,Kalvarijosraj.zip
Kauno rajono savivaldybė,Kaunoraj.zip
Vilniaus rajono savivaldybė,""
Pagėgių savivaldybė,Pagegiuraj.zip
Molėtų rajono savivaldybė,Moleturaj.zip
Anykščių rajono savivaldybė,Anyksciuraj.zip
Klaipėdos miesto savivaldybė,Klaipedosm.zip
Šalčininkų rajono savivaldybė,Salcininkuraj.zip
Trakų rajono savivaldybė,Trakuraj.zip
Palangos miesto savivaldybė,Palangosm.zip
Kretingos rajono savivaldybė,Kretingosraj.zip
Ukmergės rajono savivaldybė,Ukmergesraj.zip
Panevėžio rajono savivaldybė,Panevezioraj.zip
Kauno miesto savivaldybė,Kaunom.zip
Druskininkų savivaldybė,Druskininkuraj.zip
Varėnos rajono savivaldybė,Varenosraj.zip
Neringos savivaldybė,Neringosraj.zip
Lazdijų rajono savivaldybė,Lazdijuraj.zip
Alytaus rajono savivaldybė,""
Alytaus miesto savivaldybė,Alytausm.zip
Rokiškio rajono savivaldybė,
Biržų rajono savivaldybė,""
Kupiškio rajono savivaldybė,
Rietavo savivaldybė,Rietavoraj.zip
Pasvalio rajono savivaldybė,Pasvalioraj.zip
Šilutės rajono savivaldybė,Silutesraj.zip
Skuodo rajono savivaldybė,Skuodoraj.zip
Klaipėdos rajono savivaldybė,Klaipedosraj.zip
Mažeikių rajono savivaldybė,
Pakruojo rajono savivaldybė,Pakruojoraj.zip
Joniškio rajono savivaldybė,Joniskioraj.zip
Šiaulių rajono savivaldybė,Siauliuraj.zip
Akmenės rajono savivaldybė,Akmenesraj.zip
Radviliškio rajono savivaldybė,Radviliskioraj.zip
Kelmės rajono savivaldybė,
Prienų rajono savivaldybė,Prienuraj.zip
Plungės rajono savivaldybė,Plungesraj.zip
Jonavos rajono savivaldybė,Jonavosraj.zip
Raseinių rajono savivaldybė,Raseiniuraj.zip
Tauragės rajono savivaldybė,Tauragesraj.zip
Kaišiadorių rajono savivaldybė,Kaisiadoriuraj.zip
Šilalės rajono savivaldybė,Silalesraj.zip
Kėdainių rajono savivaldybė,
Jurbarko rajono savivaldybė,
Birštono savivaldybė,Birstonoraj.zip
Telšių rajono savivaldybė,Telsiuraj.zip
Šakių rajono savivaldybė,Sakiuraj.zip
Širvintų rajono savivaldybė,Sirvinturaj.zip
