Transportas,Marsrutas,Grafikas,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,SekanciosStotelesNum,AtvykimoLaikasSekundemis,
Troleibusai,14,14-02,102,23941805,54933682,23,266,1007,40,121,60581,
Troleibusai,14,14-01,105,23942775,54929157,34,180,998,50,508,60531,
Troleibusai,14,14-10,128,23929555,54933907,29,96,968,-49,812,60491,
Troleibusai,14,14-09,20,23956857,54897992,5,252,978,-1,373,60659,
Troleibusai,14,14-11,3,23970112,54918830,11,204,988,20,452,60560,
Troleibusai,14,14-04,53,23918277,54904807,13,58,991,70,441,60550,
Troleibusai,14,14-08,59,23953775,54926397,12,262,979,-76,502,60464,
Troleibusai,14,14-06,75,23911053,54895835,40,276,1002,-3,573,60536,
Troleibusai,14,14-05,92,23944285,54933210,0,8,957,0,505,61080,
Troleibusai,4,4-02,88,23927705,54884615,14,342,993,21,376,60621,
Troleibusai,4,4-03,74,23920847,54917347,0,264,994,64,525,60605,
Troleibusai,4,4-05,141,23977280,54871630,0,142,955,0,215,61080,
Troleibusai,4,4-04,126,23944157,54933513,0,6,966,0,505,61080,
Troleibusai,4,4-06,10,23925125,54895825,0,188,976,476,576,60477,
Troleibusai,13,13-04,100,23973850,54901115,3,120,992,459,477,60579,
Troleibusai,13,13-11,11,23928730,54908793,20,242,983,-26,438,60513,
Troleibusai,13,13-01,110,23949662,54925960,35,70,992,165,501,60586,
Troleibusai,13,13-05,123,23944225,54933485,0,2,959,0,505,60720,
Troleibusai,13,13-08,124,23954172,54926410,0,278,980,296,502,60477,
Troleibusai,13,13-10,131,23934127,54933800,33,94,969,249,124,60490,
Troleibusai,13,13-09,135,23917423,54898917,0,96,972,96,572,60517,
Troleibusai,13,13-06,60,23932180,54887275,6,50,961,289,377,60469,
Troleibusai,13,13-02,37,23931767,54929772,34,66,1002,-48,513,60492,
Troleibusai,1,1-02,4,23927880,54908353,0,60,970,230,440,60531,
Troleibusai,1,1-01,62,23925377,54916657,22,222,998,-64,522,60595,
Troleibusai,1,1-11,64,23916757,54904243,38,58,979,-61,441,60599,
Troleibusai,1,1-12,46,23943915,54933320,0,4,958,0,505,61380,
Troleibusai,1,1-05,70,23924700,54898172,7,132,973,388,576,60569,
Troleibusai,1,1-08,87,23901092,54897950,10,124,985,21,567,60502,
Troleibusai,1,1-04,91,23947777,54866047,48,134,962,167,398,60527,
Troleibusai,1,1-06,137,23943967,54933455,0,0,948,0,505,60540,
Troleibusai,1,1-10,14,23977255,54871605,0,126,952,0,215,60660,
Troleibusai,1,1-07,101,23919203,54895485,34,274,989,-13,574,60586,
Troleibusai,1,1-03,23,23945482,54867445,4,316,1000,62,395,60483,
Troleibusai,7,7-04,103,23973715,54910933,32,180,996,-12,473,60527,
Troleibusai,7,7-03,111,23973882,54903800,0,358,964,209,474,60510,
Troleibusai,7,7-01,108,23874690,54907105,0,104,998,107,82,60527,
Troleibusai,7,7-02,130,23893513,54901177,17,40,969,54,79,60714,
Troleibusai,7,7-07,125,23943997,54894912,28,38,975,51,370,60652,
Troleibusai,7,7-05,77,24000082,54926093,0,0,953,0,6,61380,
Troleibusai,7,7-06,78,23938992,54890515,15,224,982,184,374,60485,
Troleibusai,7,7-09,48,24000090,54926310,0,350,942,0,6,60600,
Troleibusai,7,7-10,51,23829787,54919493,0,306,953,0,99,60720,
Troleibusai,7,7-11,44,23917215,54898907,0,88,986,44,572,60525,
Troleibusai,5,5-08,34,23900985,54895055,30,302,980,56,566,60536,
Troleibusai,5,5-05,61,24007792,54885135,0,346,953,0,295,60660,
Troleibusai,5,5-03,8,23962090,54899113,42,66,969,335,367,60576,
Troleibusai,5,5-02,120,23900230,54914802,22,276,966,108,63,60588,
Troleibusai,5,5-06,121,23930127,54887313,0,138,980,77,377,60557,
Troleibusai,5,5-01,115,23906142,54899308,21,90,993,-107,570,60493,
Troleibusai,5,5-07,104,23969077,54901245,40,266,996,107,368,60527,
Troleibusai,5,5-09,16,23897842,54914762,29,94,1006,17,70,60558,
Troleibusai,16,16-06,21,23983460,54919252,38,332,988,9,360,60490,
Troleibusai,16,16-05,12,23921350,54906072,0,242,980,144,442,60505,
Troleibusai,16,16-07,107,23980178,54922238,13,142,1000,53,361,60533,
Troleibusai,16,16-04,117,23925075,54895688,6,182,969,131,579,60552,
Troleibusai,16,16-02,127,23999677,54926285,0,352,965,0,6,60840,
Troleibusai,16,16-03,24,23955443,54897442,0,68,1000,192,370,60492,
Troleibusai,16,16-01,79,23956802,54912538,0,276,990,-15,466,60525,
Troleibusai,16,16-08,50,24000010,54926227,0,356,975,0,6,61560,
Troleibusai,11,11-02,69,23895317,54898377,40,98,990,151,568,60632,
Troleibusai,11,11-07,72,23935753,54911735,1,54,980,117,436,60537,
Troleibusai,11,11-06,81,23944092,54933498,0,4,958,0,505,60840,
Troleibusai,11,11-09,52,23830017,54919382,0,320,963,0,99,60960,
Troleibusai,11,11-05,95,23943425,54924735,20,130,1001,80,510,60560,
Troleibusai,11,11-01,26,23943158,54925398,36,348,969,0,505,61500,
Troleibusai,11,11-08,29,23920852,54905895,0,236,987,31,442,60511,
Troleibusai,11,11-03,136,23853892,54910045,51,104,1003,48,90,60528,
Troleibusai,11,11-04,122,23878245,54906647,0,282,975,116,81,60477,
Troleibusai,9,9-04,116,24008065,54885013,0,340,952,0,295,60960,
Troleibusai,9,9-02,143,23985382,54914662,16,178,979,128,470,60609,
Troleibusai,9,9-03,99,23926712,54917365,22,40,1005,66,518,60607,
Troleibusai,9,9-07,43,23950532,54926147,34,76,992,151,501,60571,
Troleibusai,9,9-05,55,23988343,54894623,12,286,1002,11,305,60551,
Troleibusai,9,9-01,80,23999855,54892560,6,106,965,211,300,60511,
Troleibusai,9,9-06,71,23948225,54911660,0,254,989,-57,467,60483,
Troleibusai,8,8-01,82,24007205,54905062,0,110,972,0,314,60720,
Troleibusai,8,8-05,49,23891472,54914995,0,92,968,0,154,60540,
Troleibusai,8,8-04,118,23945182,54911340,33,270,986,167,435,60588,
Troleibusai,8,8-02,132,23955802,54912333,0,84,990,246,457,60606,
Troleibusai,2,2-03,129,23931210,54906605,39,146,989,108,491,60529,
Troleibusai,2,2-01,134,23928440,54922480,5,4,989,58,518,60479,
Troleibusai,2,2-02,119,23908617,54901245,49,56,1002,-46,443,60554,
Troleibusai,2,2-04,31,23943997,54933448,0,2,974,0,505,60720,
Troleibusai,15,15-03,68,23899930,54898005,0,96,994,111,568,60531,
Troleibusai,15,15-07,85,23999935,54926298,0,342,953,0,6,60540,
Troleibusai,15,15-02,73,23999965,54925987,0,6,963,0,6,61200,
Troleibusai,15,15-01,90,23983742,54917328,11,186,998,61,703,60601,
Troleibusai,15,15-05,140,23973742,54906590,0,184,988,176,475,60537,
Troleibusai,15,15-06,138,23961375,54911985,0,94,982,-70,463,60470,
Troleibusai,15,15-04,133,23929837,54887590,12,316,978,181,376,60481,
Troleibusai,15,15-08,25,23981237,54921475,5,332,972,-44,355,60556,
Autobusai,20,20-02,2788,23952922,54931212,40,272,982,235,503,60535,
Autobusai,20,20-04,1501,23894440,54889212,53,158,957,210,132,60547,
Autobusai,20,20-01,2980,23933610,54930393,0,64,967,-6,511,60533,
Autobusai,20,20-05,2942,23999298,54926190,0,2,933,0,6,60540,
Autobusai,20,20-03,2960,23910707,54875147,31,274,996,174,233,60595,
Autobusai,47,47-01,2975,23906007,54896042,0,270,975,168,573,60469,
Autobusai,47,47-03,2997,23950682,54955352,0,178,930,0,600,60600,
Autobusai,47,47-04,2998,23974857,54860532,4,2,950,0,220,60540,
Autobusai,47,47-02,1502,23925202,54895513,8,180,978,129,579,60550,
Autobusai,6G,6-10,1503,23912143,54875057,0,278,966,62,163,60483,
Autobusai,6,6-07,1517,23884288,54816000,0,202,932,0,687,60840,
Autobusai,6,6-08,1523,23931708,54904147,27,6,962,125,437,60605,
Autobusai,6,6-06,1556,24009197,54908585,0,178,932,0,321,60960,
Autobusai,6,6-05,1644,23965015,54922663,0,318,991,-80,425,60580,
Autobusai,6,6-09,1553,23882267,54850205,0,14,993,62,236,60483,
Autobusai,6,6-02,2901,23892575,54894870,28,96,976,72,563,60612,
Autobusai,6,6-03,2913,23888393,54867485,12,194,953,111,146,60591,
Autobusai,6,6-11,2811,23930185,54909332,27,230,974,300,439,60601,
Autobusai,6G,6-04,2992,24007867,54905287,24,294,1006,72,627,60493,
Autobusai,6,6-01,2971,23979368,54922620,17,116,947,-64,361,60535,
Autobusai,43,43-01,2977,23976757,54888027,0,26,934,0,229,61440,
Autobusai,43,43-04,2982,23969948,54929942,41,312,994,120,745,60493,
Autobusai,43,43-03,1506,23929915,54886445,42,226,964,71,380,60563,
Autobusai,43,43-06,2845,23951647,54863777,0,294,995,-31,787,60509,
Autobusai,43,43-02,2904,23929655,54908037,15,324,964,7,440,60548,
Autobusai,43,43-05,2795,23976798,54924765,12,142,939,274,361,60574,
Autobusai,3,3-12,1522,23864240,54915647,0,216,894,0,50,63480,
Autobusai,3,3-08,2775,23884282,54935678,14,30,995,112,762,60532,
Autobusai,3,3-06,2914,23920897,54916663,28,184,947,51,525,60591,
Autobusai,3,3-11,2915,23940667,54869888,35,134,934,179,396,60539,
Autobusai,3,3-07,2906,23964042,54923355,0,316,965,72,422,60552,
Autobusai,3,3-13,2858,23962183,54863255,31,128,999,22,202,60563,
Autobusai,3,3-05,2822,23920692,54914615,31,334,980,109,624,60470,
Autobusai,3,3-03,1505,23948782,54904873,16,216,949,338,483,60518,
Autobusai,3,3-16,2986,23882697,54935570,7,250,929,36,4,60577,
Autobusai,3,3-10,2962,23974325,54860417,0,74,915,0,220,61020,
Autobusai,3,3-01,2947,23865267,54915692,0,90,874,0,50,62460,
Autobusai,3,3-04,2912,23925092,54893440,17,2,982,159,578,60579,
Autobusai,3,3-15,2931,23943167,54925025,22,162,963,277,510,60577,
Autobusai,3,3-02,2932,23865057,54915652,0,86,912,0,50,61560,
Autobusai,17,17-01,2943,24073040,54923070,0,350,935,0,260,61380,
Autobusai,17,17-04,2988,23840092,54922187,0,148,996,119,55,60480,
Autobusai,17,17-05,2979,23976630,54913933,7,244,978,146,453,60507,
Autobusai,17,17-06,1507,23848723,54923538,39,226,952,267,54,60567,
Autobusai,57G,57G-04,2909,23973845,54901830,21,164,981,-32,368,60567,
Autobusai,57G,57G-03,2783,23897397,54896415,0,292,965,-1,566,60479,
Autobusai,57G,57G-09,2792,23981665,54911172,36,112,961,278,328,60698,
Autobusai,57G,57G-06,2999,23990777,54925477,8,264,998,45,354,60585,
Autobusai,57G,57G-08,2941,23925072,54895152,27,184,974,241,579,60541,
Autobusai,57G,57G-01,2946,23884037,54905472,15,120,993,16,80,60496,
Autobusai,57G,57G-02,2935,23879198,54935180,0,72,933,0,3019,60600,
Autobusai,57G,57G-07,2924,23998098,54916935,0,182,944,0,856 n,60840,
Autobusai,57G,57G-05,2927,23894508,54930278,27,78,949,18,17,60559,
Autobusai,42,42-04,2934,23895475,54888260,54,148,980,109,132,60542,
