Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,
Autobusai,1,17336931635,2-17161,25276578,54650030,14,4,995,18,59826,,
Autobusai,4G,17343831627,8006,25315128,54712690,9,194,987,59,59837,KWNZ,
Autobusai,24,17337251550,4008,25241360,54739938,0,146,950,0,59765,Z,
Autobusai,61,17136211625,7018,25303028,54654858,0,354,985,-52,59650,KWNZ,
Autobusai,87,16663191548,4515,25271540,54769358,42,180,948,-27,59540,KWNZ,
Autobusai,4G,17343851619,8005,25265998,54698300,23,104,979,-112,59708,KWNZ,
Autobusai,55,16737541549,8023,25207000,54673008,27,282,949,-44,59528,KWNZ,
Autobusai,6G,16213331620,4157,25309518,54684718,2,280,980,-29,59835,KWNZD,
Autobusai,12,17046411600,4120,25269538,54586648,0,206,960,80,59823,KWNZ,
Autobusai,5,17311191605,4034,25270720,54704398,0,16,965,-6,59826,KZ,
Autobusai,26,17154681620,7056,25277380,54738168,47,348,980,52,59829,KWNZ,
Autobusai,2G,16842611628,4194,25268000,54737580,43,244,988,54,59829,KWNZD,
Autobusai,82,,4114,25302890,54644898,3,358,,,58572,KWNZ,
Autobusai,17,16663051630,3030,25336300,54733400,37,42,990,-13,59836,KZ,
Autobusai,28,17275731618,7015,25100518,54668328,0,298,978,115,59827,KWNZ,
Autobusai,6G,16213341548,4189,25431028,54685580,0,10,948,0,59534,KWNZD,
Autobusai,57,17154741607,7026,25216798,54759830,31,292,967,44,59825,KWNZ,
Autobusai,46,17337501610,4532,25257320,54703948,52,150,970,494,59819,KWNZ,
Autobusai,25,17154651608,4118,25176738,54598908,0,46,968,0,59825,KZ,
Autobusai,42,17337481626,4175,25252030,54611138,35,10,986,57,59537,KWNZD,
Autobusai,39,16663071611,955,25436610,54794130,0,244,971,0,59752,Z,
Troleibusai,13,17368241628,2117,25233678,54659820,12,2,988,9,59773,,
Autobusai,51,16417201616,7020,25100180,54629398,20,358,976,-21,59834,KWNZ,
Autobusai,20,17375371553,7028,25209478,54646270,0,244,953,0,59818,KWNZ,
Troleibusai,1,16492291551,2713,25206118,54684300,0,28,951,0,59832,KZ,
Autobusai,8,17031661631,934,25183070,54609008,52,304,991,72,59832,Z,
Autobusai,34,17283141608,946,25292390,54700830,7,336,968,485,59830,Z,
Autobusai,115,17375181624,4541,25344418,54711978,26,88,984,-4,59778,KWNZ,
Autobusai,27,15902331623,972,25309380,54684680,0,128,983,0,59642,Z,
Autobusai,6G,16213411606,4159,25280280,54692120,28,18,966,22,59713,KWNZD,
Troleibusai,20,16493481620,1557,25298908,54695568,12,98,980,6,59832,,
Autobusai,3G,17337101638,4594,25241578,54739828,0,154,998,0,59819,KWNZD,
Autobusai,6G,16213381614,3018,25289120,54688330,8,264,974,-101,59827,KZ,
Troleibusai,3,17274171554,2669,25215228,54693668,24,212,954,-138,59825,,
Autobusai,69,17181101630,4529,25205400,54669980,30,278,990,207,59818,KWNZ,
Troleibusai,4,17368081559,1705,25302340,54692438,15,56,959,68,59829,KZ,
Troleibusai,20,16493501604,1651,25304178,54718628,0,330,964,-100,59833,,
Troleibusai,2,17330701555,1599,25340640,54724788,0,218,955,0,59811,,
Autobusai,6G,16213371627,770,25302240,54694360,4,126,987,133,59832,KZ,
Autobusai,36,17337341556,4132,25284910,54707210,1,196,956,0,59647,KWNZ,
Autobusai,19,16506511551,963,25251950,54614208,0,348,951,0,59465,Z,
Troleibusai,7,17274741629,2686,25282800,54671810,0,328,989,213,59646,Z,
Troleibusai,13,17368251616,2125,25215028,54678668,38,286,976,288,59834,,
Autobusai,6G,16213351612,3020,25393560,54690628,67,130,972,-13,59597,KZ,
Autobusai,68,16835371614,3104,25102250,54647128,48,248,974,74,59832,KWNZ,
Autobusai,40,17337431628,4113,25235658,54734220,32,150,988,95,59641,KWNZ,
Autobusai,115,17375161646,720,25318310,54722478,0,166,1006,0,59826,KZ,
